Noun,Count
워크,7
혈연,7
콩고기,7
감동적,7
무도,7
무대,7
볼륨매직,7
슈퍼마리오,7
랄,7
체육관,7
싹,7
다방,7
전여친,7
모텔,7
발사,7
비빔밥,7
마리오,7
피크닉,7
대파,7
상봉,7
숙소,7
고층,7
왕자,7
늦잠,7
물때,7
자퇴,7
지점,7
영하,7
윤,7
챙기기,7
모스,7
헤어팩,7
출산율,7
방역,7
별걸,7
수족냉증,7
스래,7
시다,7
증말,7
베이징,7
행님,7
싱크대,7
범죄자,7
골드,7
유니폼,7
힙,7
동감,7
중성화,7
아랫집,7
말티즈,7
부츠,7
진도,7
스위스,7
여주,7
중고나라,7
입사,7
안심,7
함양,7
로맨스,7
즉흥,7
와이파이,7
만보,7
가여,7
가정교육,7
특강,7
소형,7
상식,7
모드,7
서민,7
전단지,7
애견카페,7
오버워,7
낚시대,7
심정,7
설국,7
분리수거,7
먼데,7
학창시절,7
라이브,7
경쟁률,7
권태기,7
실업계,7
시계,7
순수,7
원장,7
산거,7
이번년도,7
시민,7
엽산,7
영혼,7
외투,7
능력자,7
식비,7
승마,7
안전장비,7
바이올린,7
올리브,7
하이브리드,7
합,7
캣,7
롯데월드,7
쓰레기장,7
별명,7
의가사,7
검도,6
전세금,6
사본,6
가난,6
금은,6
추락,6
가발,6
자해,6
악보,6
돼지국밥,6
결혼기념일,6
실물,6
어학연수,6
도심,6
만원정도,6
미어,6
샤브샤브,6
캐나다,6
심이,6
독감백신,6
토너,6
도마,6
리치,6
충당,6
드래곤,6
조기퇴근,6
카풀,6
만화영화,6
캐시,6
닭발,6
매니아,6
통금,6
막장,6
휴양지,6
요소수,6
반성,6
매형,6
자취방,6
칠판,6
서장,6
성남,6
십만,6
낭만,6
시부모,6
주유소,6
인도네시아,6
심판,6
불행,6
이건,6
걘,6
드리블,6
투기,6
어가,6
튜,6
콜라겐,6
처럼,6
피트,6
십만원,6
파스타,6
꽃차,6
멀티,6
안대,6
이과,6
뱀파이어,6
프라이,6
승급,6
박정민,6
국제결혼,6
매매혼,6
다문화,6
지라,6
건의,6
호수,6
물회,6
년생,6
턴,6
잠실,6
생각지도,6
지급,6
인수,6
어드벤처,6
취급,6
사망자,6
계기,6
머스크,6
진실,6
했잖,6
곰탕,6
경매,6
교훈,6
전자레인지,6
모터,6
해주라,6
관리실,6
삼성전자,6
천차만별,6
품종,6
처우,6
잇,6
오랫만,6
힌두,6
성추행,6
경량,6
단합,6
가능하대,6
소나타,6
가르마,6
친가,6
아메리카,6
취사병,6
기해,6
악어,6
미사일,6
무야,6
했어도,6
신혼집,6
내신,6
스테이션,6
비숑,6
천뚱,6
배차간격,6
온수,6
헬기,6
됬,6
